"Program Studi","Konsentrasi/Jalur","Semester","Nama Mata Kuliah","SKS"
"S2 Manajemen","Kelas Reguler","Semester 1","Financial Management and Technology",3
"S2 Manajemen","Kelas Reguler","Semester 1","Human Capital Management",3
"S2 Manajemen","Kelas Reguler","Semester 1","Marketing Management in Digital Era",3
"S2 Manajemen","Kelas Reguler","Semester 1","Managing Seamless Operation",3
"S2 Manajemen","Kelas Reguler","Semester 1","Data Science in Decision Intelligence",4
"S2 Manajemen","Kelas Reguler","Semester 1","Etika Bisnis",2
"S2 Manajemen","Kelas Reguler","Semester 2","Manajemen Strategi & Ekosistem Bisnis",4
"S2 Manajemen","Kelas Reguler","Semester 2","Design Thinking for Business",4
"S2 Manajemen","Kelas Reguler","Semester 2","Mata Kuliah Pilihan Wajib",4
"S2 Manajemen","Kelas Reguler","Semester 2","Research Method",3
"S2 Manajemen","Kelas Reguler","Semester 2","Sertifikasi",1
"S2 Manajemen","Kelas Reguler","Semester 2","Seminar",2
"S2 Manajemen","Kelas Reguler","Semester 3","Mata Kuliah Pilihan 1",4
"S2 Manajemen","Kelas Reguler","Semester 3","Mata Kuliah Pilihan 2",4
"S2 Manajemen","Kelas Reguler","Semester 3","Tugas Akhir 1",8
"S2 Manajemen","Kelas Reguler","Semester 3","Tugas Akhir 2",2
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 1","Financial Management and Technology",3
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 1","Human Capital Management",3
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 1","Marketing Management in Digital Era",3
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 1","Managing Seamless Operation",3
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 1","Data Science in Decision Intelligence",4
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 2","Manajemen Strategi & Ekosistem Bisnis",4
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 2","Design Thinking for Business",4
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 2","Etika Bisnis",2
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 2","Mata Kuliah Pilihan Wajib",4
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 2","Sertifikasi",1
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 3","Mata Kuliah Pilihan 1",4
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 3","Mata Kuliah Pilihan 2",4
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 3","Research Method",3
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 3","Seminar",2
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 4","Tugas Akhir 1",8
"S2 Manajemen","Kelas Profesional dan Eksekutif","Semester 4","Tugas Akhir 2",2
"S2 Manajemen","By Research","Semester 1","Financial Management and Technology",3
"S2 Manajemen","By Research","Semester 1","Human Capital Management",3
"S2 Manajemen","By Research","Semester 1","Marketing Management in Digital Era",3
"S2 Manajemen","By Research","Semester 1","Managing Seamless Operation",3
"S2 Manajemen","By Research","Semester 1","Data Science in Decision Intelligence",4
"S2 Manajemen","By Research","Semester 2","Manajemen Strategi & Ekosistem Bisnis",4
"S2 Manajemen","By Research","Semester 2","Preliminary Study",4
"S2 Manajemen","By Research","Semester 2","Study Literature",4
"S2 Manajemen","By Research","Semester 2","Laporan Progres/Publikasi 1-Jurnal Scopus Q3",3
"S2 Manajemen","By Research","Semester 3","Research Design",4
"S2 Manajemen","By Research","Semester 3","Pengumpulan Data",3
"S2 Manajemen","By Research","Semester 3","Analisis Data",3
"S2 Manajemen","By Research","Semester 3","Seminar Hasil",3
"S2 Manajemen","By Research","Semester 4","Tugas Akhir 1",8
"S2 Manajemen","By Research","Semester 4","Tugas Akhir 2",2
"S2 Teknik Elektro","IWCSS","Semester 1","Advanced Engineering Mathematics",3
"S2 Teknik Elektro","IWCSS","Semester 1","Deep Learning for Electrical Enginenering",3
"S2 Teknik Elektro","IWCSS","Semester 1","Entrepreneurship for Engineers",3
"S2 Teknik Elektro","IWCSS","Semester 1","Research Philosophy and Ethics",3
"S2 Teknik Elektro","IWCSS","Semester 1","Advanced Wireless Communications",3
"S2 Teknik Elektro","IWCSS","Semester 1","Classical and Quantum Information Theory",3
"S2 Teknik Elektro","IWCSS","Semester 2","Research Design",3
"S2 Teknik Elektro","IWCSS","Semester 2","Artificial Intelligence for Wireless Communication",3
"S2 Teknik Elektro","IWCSS","Semester 2","Advanced Digital Signal Processing and Applications",3
"S2 Teknik Elektro","IWCSS","Semester 2","Elective Course 1 (Major)",3
"S2 Teknik Elektro","IWCSS","Semester 2","Elective Course 2 (Major)",3
"S2 Teknik Elektro","IWCSS","Semester 3","Thesis Proposal",3
"S2 Teknik Elektro","IWCSS","Semester 3","Thesis 1: Publication",5
"S2 Teknik Elektro","IWCSS","Semester 3","Advanced Satellite Systems",3
"S2 Teknik Elektro","IWCSS","Semester 3","Elective Course 3 (Major/Minor)",3
"S2 Teknik Elektro","IWCSS","Semester 4","Thesis 2",5
"S2 Teknik Elektro","IWCSS","Semester 4","Elective Course 4 (Major/Minor)",3
"S2 Teknik Elektro","NECS","Semester 1","Advanced Engineering Mathematics",3
"S2 Teknik Elektro","NECS","Semester 1","Deep Learning for Electrical Engineering",3
"S2 Teknik Elektro","NECS","Semester 1","Entrepreneurship for Engineers",3
"S2 Teknik Elektro","NECS","Semester 1","Research Philosophy and Ethics",3
"S2 Teknik Elektro","NECS","Semester 1","Data Network & Protocols",3
"S2 Teknik Elektro","NECS","Semester 1","Internet of Things and Edge Computing",3
"S2 Teknik Elektro","NECS","Semester 2","Research Design",3
"S2 Teknik Elektro","NECS","Semester 2","Advanced Network Security",3
"S2 Teknik Elektro","NECS","Semester 2","Network Mathematics",3
"S2 Teknik Elektro","NECS","Semester 2","Elective Course 1 (Major)",3
"S2 Teknik Elektro","NECS","Semester 2","Elective Course 2 (Major)",3
"S2 Teknik Elektro","NECS","Semester 3","Thesis Proposal",3
"S2 Teknik Elektro","NECS","Semester 3","Thesis 1: Publication",5
"S2 Teknik Elektro","NECS","Semester 3","Management and Audit of Cyber Security",3
"S2 Teknik Elektro","NECS","Semester 3","Elective Course 3 (Major/Minor)",3
"S2 Teknik Elektro","NECS","Semester 4","Thesis 2",5
"S2 Teknik Elektro","NECS","Semester 4","Elective Course 4 (Major/Minor)",3
"S2 Teknik Elektro","RMT","Semester 1","Advanced Engineering Mathematics",3
"S2 Teknik Elektro","RMT","Semester 1","Deep Learning for Electrical Engineering",3
"S2 Teknik Elektro","RMT","Semester 1","Entrepreneurship for Engineers",3
"S2 Teknik Elektro","RMT","Semester 1","Research Philosophy and Ethics",3
"S2 Teknik Elektro","RMT","Semester 1","Digital Telecommunication Policy and Regulation",3
"S2 Teknik Elektro","RMT","Semester 1","Telecommunication System and Network Planning",3
"S2 Teknik Elektro","RMT","Semester 2","Research Design",3
"S2 Teknik Elektro","RMT","Semester 2","Digital Business and Telecommunication Project Management",3
"S2 Teknik Elektro","RMT","Semester 2","Management and Audit of Cyber Security",3
"S2 Teknik Elektro","RMT","Semester 2","Elective Course 1 (Major)",3
"S2 Teknik Elektro","RMT","Semester 2","Elective Course 2 (Major)",3
"S2 Teknik Elektro","RMT","Semester 3","Thesis Proposal",3
"S2 Teknik Elektro","RMT","Semester 3","Thesis 1: Publication",5
"S2 Teknik Elektro","RMT","Semester 3","Management of Technology and Innovation",3
"S2 Teknik Elektro","RMT","Semester 3","Elective Course 3 (Major)",3
"S2 Teknik Elektro","RMT","Semester 4","Thesis 2",5
"S2 Teknik Elektro","RMT","Semester 4","Elective Course 4 (Major)",3
"S2 Teknik Elektro","CIS","Semester 1","Advanced Engineering Mathematics",3
